Date.in,Date.out,Colony,Site,Replicate,Larvae.num.in,Larvae.num.out,Chamber.num,Tank.num,Treatment,NOTES
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,4,40,,E76,3,Hot,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,5,40,,E77,9,Hot,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,6,40,,E78,9,Hot,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,1,40,,E79,6,Ambient,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,2,40,,E80,6,Ambient,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,3,40,,E81,12,Ambient,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,4,40,,E82,12,Ambient,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,5,40,,E83,11,Ambient,
20180812,20180814,"D7,D18,D3,D17,D9,D8,D19,D11,D13,D6,D2,D20,D10,D5",Upper-mesophotic,6,40,,E84,11,Ambient,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,1,40,,E85,2,Hot,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,2,40,,E86,2,Hot,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,3,40,,E87,4,Hot,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,4,40,,E88,4,Hot,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,5,40,,E89,9,Hot,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,6,40,,E90,9,Hot,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,1,40,,E91,5,Ambient,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,2,40,,E92,5,Ambient,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,3,40,,E93,7,Ambient,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,4,40,,E94,7,Ambient,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,5,40,,E95,8,Ambient,
20180813,20180815,"D11,D5,D19,D17,D12,D20,D7,D15,D8,D18,D1,D6,D10",Upper-mesophotic,6,40,,E96,8,Ambient,
